,Vendor,count,Service,Service_extend,Service_outdated,Frontend,Frontend_extend,Frontend_extend_2,Database,Backend,Backend_extend,APIs
285,Vendor858,3,nginx,/1.20.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
286,Vendor053,3,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
287,Vendor320,3,Apache,,,,,Own Frontend Design,,HTTP,1.1,
288,Vendor756,3,nginx,/1.20.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
289,Vendor615,3,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
290,Vendor209,3,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
291,Vendor139,2,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
292,Vendor657,2,nginx,/1.20.1,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
293,Vendor267,2,Apache,,,,,Own Frontend Design,,,,
294,Vendor826,2,,,,,CSS,Own Frontend Design,,HTTP,1.1,
295,Vendor522,2,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
296,Vendor637,2,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
297,Vendor402,2,nginx,/1.18.0 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
298,Vendor757,2,Apache,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
299,Vendor408,2,Express,,,,CSS,Own Frontend Design,,HTTP,1.1,
300,Vendor752,2,Apache,/2.4.9 (Win64) PHP/5.5.12,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
301,Vendor354,2,Apache,/2.4.10 (Debian),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
302,Vendor323,2,Microsoft-IIS,/7.5,,,CSS,Own Frontend Design,,HTTP,1.1,
303,Vendor823,2,Kestrel,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
304,Vendor132,2,nginx,,,,,Own Frontend Design,,HTTP,1.1,
305,Vendor401,2,,,,Javascript,,Own Frontend Design,,HTTP,1,
306,Vendor127,2,Apache,/2.4.52 (Ubuntu),,,CSS,Own Frontend Design,,HTTP,1.1,
307,Vendor802,2,Microsoft-IIS,/8.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
308,Vendor581,2,nginx,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
309,Vendor794,2,nginx,/1.25.3,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
310,Vendor244,2,Apache,/2.4.53 (Red Hat Enterprise Linux) OpenSSL/3.0.7,,Javascript,,Own Frontend Design,,HTTP,1.1,
311,Vendor038,2,nginx,/1.18.0 (Ubuntu),,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
312,Vendor441,2,Apache,,,,CSS,Own Frontend Design,,HTTP,1.1,
313,Vendor365,2,Apache,/2.4.29 (Ubuntu),,Javascript,,Own Frontend Design,,HTTP,1.1,
314,Vendor600,2,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
315,Vendor828,2,,,,,,Based on Third Party Framework,,,,
316,Vendor343,2,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
317,Vendor535,2,Apache,/2.4.48 (Debian),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
318,Vendor864,2,nginx,/1.17.6,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
319,Vendor791,2,nginx,/1.9.15,,,,Own Frontend Design,,HTTP,1.1,
320,Vendor054,2,Apache,,,,,Own Frontend Design,,HTTP,1.1,
321,Vendor463,2,nginx,/1.18.0 (Ubuntu),,Javascript,,Based on Third Party Framework,,HTTP,1.1,
322,Vendor277,2,nginx,/1.14.0 (Ubuntu),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
323,Vendor790,2,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
324,Vendor113,2,Apache,/2.4.48 (Unix) OpenSSL/1.1.1n,,,,Own Frontend Design,,HTTP,1.1,
325,Vendor782,2,nginx,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
326,Vendor418,2,Apache,/2.4.25 (Debian),,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
327,Vendor355,2,nginx,,,,,Own Frontend Design,,HTTP,1.1,
328,Vendor549,2,,,,,,Own Frontend Design,,HTTP,1.1,
329,Vendor444,2,nginx,/1.18.0 (Ubuntu),,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
330,Vendor328,2,,,,,,Half Rely on Third-Party Framework,,,,
331,Vendor558,2,Apache,/2.4.55 (Win64) PHP/7.4.7,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
332,Vendor848,2,nginx,/1.6.0,,,CSS,Own Frontend Design,,HTTP,1.1,
333,Vendor080,2,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
334,Vendor838,2,nginx,1.14.0 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
335,Vendor242,2,nginx,/1.24.0,,,CSS,Own Frontend Design,,HTTP,1.1,
336,Vendor687,2,Tengine,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
337,Vendor109,2,Apache,"```

```",,,,Half Rely on Third-Party Framework,,,,
338,Vendor212,2,Apache,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
339,Vendor138,2,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
340,Vendor832,2,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
341,Vendor104,2,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
342,Vendor560,2,nginx,/1.20.1,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
343,Vendor476,2,,,,,CSS,Own Frontend Design,,HTTP,1.1,
344,Vendor494,2,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
376,Vendor588,2,Apache,/2.2.15 (CentOS),,,CSS,Own Frontend Design,,HTTP,1,
377,Vendor783,2,Apache,/2.2.15 (CentOS),,,CSS,Own Frontend Design,,HTTP,1.1,
378,Vendor714,2,Apache,/2.2.15 (CentOS),,,CSS,Own Frontend Design,,HTTP,1,
379,Vendor194,2,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
380,Vendor175,2,Fly/577378ac (2024-07-02),,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
381,Vendor294,2,nginx,/1.22.1,,,CSS,Based on Third Party Framework,,HTTP,1.1,
382,Vendor666,2,Apache,/2.4.41 (Win64) OpenSSL/1.1.1c PHP/7.3.12,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
383,Vendor156,2,Apache,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
384,Vendor161,2,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
385,Vendor456,2,Apache,,,,,Own Frontend Design,,HTTP,1.1,
386,Vendor586,2,Apache,#NAME?,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
387,Vendor634,2,nginx,/1.14.2,,,CSS,Own Frontend Design,,HTTP,1.1,
388,Vendor287,2,Werkzeug/1.0.1 Python/3.9.2,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
389,Vendor271,2,Werkzeug/0.14.1 Python/2.7.15rc1,,,Javascript,,Based on Third Party Framework,,HTTP,1,
390,Vendor090,2,nginx,/1.25.3,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
391,Vendor396,2,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
392,Vendor375,2,Apache,/2.4.10 (Debian),,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
393,Vendor263,2,,,,,CSS,Own Frontend Design,,HTTP,1.1,
394,Vendor393,2,nginx,,,,,Own Frontend Design,,HTTP,1.1,
395,Vendor856,2,Microsoft-IIS,/7.5,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
396,Vendor349,2,nginx,/1.18.0 (Ubuntu),,Javascript,,Own Frontend Design,,HTTP,1.1,
397,Vendor467,2,Apache,"```
Server: /2.4.59 (Debian)
```",,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
398,Vendor315,2,nginx,/1.24.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
399,Vendor158,2,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
400,Vendor124,2,nginx,/1.24.0 (Ubuntu),,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
401,Vendor713,2,Apache,#NAME?,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
402,Vendor227,2,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
403,Vendor141,2,Apache,,,,CSS,Own Frontend Design,,HTTP,1.1,
404,Vendor068,2,nginx,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
405,Vendor286,2,,,,,,Own Frontend Design,,,,
406,Vendor147,2,nginx,,,,,Own Frontend Design,,HTTP,1.1,
407,Vendor299,2,Apache,/2.4.38 (Debian),,,,Own Frontend Design,,HTTP,1.1,
408,Vendor684,2,nginx,/1.25.2,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
409,Vendor128,2,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
410,Vendor395,2,gunicorn,,,,CSS,Own Frontend Design,,HTTP,1,
411,Vendor179,2,Microsoft-IIS,/10.0,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
412,Vendor781,2,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
413,Vendor088,2,nginx,/1.20.0,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
414,Vendor417,2,nginx,,,Javascript,,Own Frontend Design,,HTTP,1.1,
415,Vendor154,2,Microsoft-IIS,/10.0,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
416,Vendor833,2,Apache,/2.4.23 (Unix) OpenSSL/1.0.2j PHP/5.6.28 mod_perl/2.0.8-dev Perl/v5.16.3,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
417,Vendor566,2,,,,Javascript,,Own Frontend Design,,HTTP,1.1,
418,Vendor282,2,Werkzeug/2.3.6 Python/3.11.4,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
419,Vendor719,2,nginx,/1.14.0 (Ubuntu),,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
420,Vendor030,2,Microsoft-IIS,/7.5,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
421,Vendor057,2,Apache,,,,,Based on Third Party Framework,,HTTP,1.1,
422,Vendor453,2,nginx,/1.18.0 (Ubuntu),,,,Based on Third Party Framework,,HTTP,1.1,
423,Vendor251,2,Apache,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
424,Vendor311,2,cloudflare,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
425,Vendor064,2,Apache,,,,,Own Frontend Design,,HTTP,1.1,
426,Vendor192,2,Apache,/2.4.41 (Ubuntu),,Javascript,,Half Rely on Third-Party Framework,,,,
427,Vendor749,2,nginx,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
428,Vendor519,2,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
429,Vendor870,2,,,,,,Own Frontend Design,,HTTP,1.1,
430,Vendor115,2,Apache,,,,,Own Frontend Design,,HTTP,1.1,
431,Vendor797,2,nginx,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
432,Vendor862,2,,,,,CSS,Own Frontend Design,,HTTP,1.1,
433,Vendor159,2,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
434,Vendor237,2,,,,,,Based on Third Party Framework,,HTTP,1.1,
435,Vendor284,2,Google Frontend,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
436,Vendor603,2,nginx,/1.20.1,,,,Own Frontend Design,,HTTP,1.1,
437,Vendor170,2,Apache,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
438,Vendor045,2,Apache,/2.4.41 (Ubuntu),,,,Own Frontend Design,,HTTP,1.1,
439,Vendor720,2,nginx,/1.13.7,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
440,Vendor763,2,nginx,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
441,Vendor686,1,nginx,yunjiasu-,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
442,Vendor743,1,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
443,Vendor358,1,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
444,Vendor624,1,Express,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
445,Vendor330,1,Apache,/2.4.51 (Win64) OpenSSL/1.1.1l PHP/8.0.11,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
446,Vendor693,1,Apache,#NAME?,,Javascript,,Own Frontend Design,,HTTP,1.1,
447,Vendor746,1,nginx,/1.18.0,,,CSS,Based on Third Party Framework,,HTTP,1.1,
448,Vendor429,1,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
449,Vendor654,1,nginx,/1.19.5,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
450,Vendor841,1,nginx,/1.19.3,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
451,Vendor554,1,,,,,CSS,Own Frontend Design,,HTTP,1.1,
452,Vendor239,1,qbsoft.ddns.net:80,,,,CSS,Based on Third Party Framework,,HTTP,1.1,
453,Vendor482,1,Apache,,,,CSS,Own Frontend Design,,HTTP,1.1,
454,Vendor762,1,nginx,/1.17.0,,,CSS,Own Frontend Design,,HTTP,1.1,
455,Vendor604,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
456,Vendor466,1,Apache,/2.4.46 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,,,
457,Vendor768,1,Microsoft-IIS,/7.5,,,,Own Frontend Design,,HTTP,1.1,
458,Vendor162,1,Apache,,,,,Own Frontend Design,,HTTP,1.1,
459,Vendor629,1,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
460,Vendor652,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
461,Vendor542,1,,,,,,Based on Third Party Framework,,,,
462,Vendor148,1,nginx,,,Javascript,,Own Frontend Design,,HTTP,1.1,
463,Vendor416,1,Apache,/2.4.29 (Ubuntu),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
464,Vendor296,1,cloudflare,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
465,Vendor765,1,,,,Javascript,,Own Frontend Design,,HTTP,1.1,
466,Vendor083,1,cloudflare,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
467,Vendor633,1,nginx,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
468,Vendor122,1,nginx,/1.0.0 + Phusion Passenger 3.0.7 (mod_rails/mod_rack),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
469,Vendor738,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
470,Vendor234,1,nginx,/1.4.6 (Ubuntu),,,,Own Frontend Design,,HTTP,1.1,
471,Vendor789,1,nginx,/1.10.2,,,CSS,Own Frontend Design,,HTTP,1.1,
472,Vendor572,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
473,Vendor460,1,Apache,/2.4.41 (Ubuntu),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
474,Vendor432,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
475,Vendor799,1,Microsoft-IIS,/7.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
476,Vendor653,1,Microsoft-IIS,/7.5,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
477,Vendor117,1,Apache,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
478,Vendor735,1,nginx,/1.10.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
479,Vendor025,1,nginx,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
480,Vendor567,1,Microsoft-IIS,/8.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
481,Vendor622,1,,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
482,Vendor101,1,nginx,/1.12.1,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
483,Vendor764,1,nginx,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
484,Vendor596,1,nginx,,,Javascript,,Own Frontend Design,,HTTP,1.1,
485,Vendor674,1,nginx,/1.20.0,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
486,Vendor815,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
487,Vendor303,1,nginx,/1.4.6 (Ubuntu),,,CSS,Own Frontend Design,,HTTP,1.1,
488,Vendor701,1,nginx,/1.19.6,,Javascript,,Own Frontend Design,,HTTP,1.1,
489,Vendor114,1,SimpleHTTP/0.6 Python/3.8.10,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1,
490,Vendor545,1,,,,,,Own Frontend Design,,,,
491,Vendor630,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
492,Vendor859,1,,,,Javascript,,Based on Third Party Framework,,,,
493,Vendor434,1,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
494,Vendor811,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
495,Vendor827,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
496,Vendor288,1,Mongoose/6.14,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
497,Vendor051,1,,,,,,Own Frontend Design,,,,
498,Vendor557,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
499,Vendor579,1,nginx,/1.16.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
500,Vendor171,1,Microsoft-IIS,/10.0,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
501,Vendor656,1,nginx,"ng: SHA256-RSA

",,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
502,Vendor564,1,Microsoft-IIS,/8.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
503,Vendor427,1,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
504,Vendor562,1,nginx,,,,CSS,Based on Third Party Framework,,HTTP,1.1,
505,Vendor706,1,nginx,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
506,Vendor368,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
507,Vendor733,1,Microsoft-IIS,/7.5,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
508,Vendor723,1,Apache,/2.4.10 (Win32) OpenSSL/0.9.8zb PHP/5.2.17,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
509,Vendor865,1,,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
510,Vendor727,1,,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
511,Vendor847,1,,,,,,Own Frontend Design,,HTTP,1.1,
512,Vendor729,1,Apache,/2.4.18 (Ubuntu),,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
513,Vendor485,1,nginx,/1.14.0 (Ubuntu),,Javascript,,Own Frontend Design,,HTTP,1.1,
514,Vendor759,1,nginx,/1.14.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
515,Vendor613,1,nginx,/1.17.3,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
516,Vendor317,1,nginx,/1.15.2,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
517,Vendor609,1,nginx,/1.14.2,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
518,Vendor712,1,Apache,/2.4.3 (Unix) mod_wsgi/3.4 Python/2.7.10,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
519,Vendor140,1,Apache,/2.4.7 (Ubuntu),,Javascript,CSS,Based on Third Party Framework,,HTTP,1,
520,Vendor725,1,Microsoft-IIS,/10.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
521,Vendor612,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
522,Vendor837,1,nginx,/1.16.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
523,Vendor677,1,Microsoft-IIS,/8.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
524,Vendor755,1,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
525,Vendor831,1,Apache,/2.4.7 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
526,Vendor649,1,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
527,Vendor660,1,Microsoft-IIS,/10.0,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
528,Vendor216,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
529,Vendor716,1,nginx,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
530,Vendor033,1,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1,
531,Vendor730,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
532,Vendor415,1,Microsoft-IIS,/8.5,,,,Own Frontend Design,,HTTP,1.1,
533,Vendor793,1,nginx,/1.16.0,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
534,Vendor550,1,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
535,Vendor732,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
536,Vendor510,1,,,,Javascript,,Own Frontend Design,,HTTP,1,
537,Vendor438,1,,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
538,Vendor664,1,Microsoft-IIS,/8.5,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
539,Vendor850,1,nginx,/1.8.1,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
540,Vendor144,1,nginx,/1.10.3 (Ubuntu),,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
541,Vendor048,1,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
542,Vendor690,1,Apache,#NAME?,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
543,Vendor753,1,Microsoft-IIS,/8.5,,,,Own Frontend Design,,HTTP,1.1,
544,Vendor640,1,nginx,/1.12.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
545,Vendor606,1,Microsoft-IIS,/7.5,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
546,Vendor787,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
547,Vendor711,1,Apache,/2.4.18 (Ubuntu),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
548,Vendor822,1,nginx,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
549,Vendor505,1,Apache,"```
BigIP
-Coyote/1.1
```",,,CSS,Half Rely on Third-Party Framework,,HTTP,1,
550,Vendor448,1,Apache,,,,,Based on Third Party Framework,,HTTP,1.1,
551,Vendor766,1,Apache,/2.2.15 (CentOS),,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
552,Vendor818,1,Tengine/2.2.1,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
553,Vendor703,1,nginx,/1.10.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
554,Vendor483,1,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
555,Vendor844,1,Apache,/2.4.23 (Win32) OpenSSL/1.0.2j PHP/5.4.45,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
556,Vendor722,1,nginx,,,,,Based on Third Party Framework,,HTTP,1.1,
557,Vendor513,1,Apache,/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/7.0.19,,,,,,HTTP,1.1,
558,Vendor518,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
559,Vendor786,1,Microsoft-IIS,/7.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
560,Vendor517,1,,,,,,,,,,
561,Vendor188,1,Apache,,,,,Own Frontend Design,,HTTP,1.1,
562,Vendor106,1,,,,,,Own Frontend Design,,HTTP,1,
563,Vendor800,1,nginx,/1.10.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
564,Vendor754,1,Apache,/2.4.9 (Win64) PHP/5.5.12,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
565,Vendor744,1,nginx,/1.14.0,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
566,Vendor578,1,Apache,,,,,Own Frontend Design,,HTTP,1.1,
567,Vendor801,1,nginx,/1.9.9,,,CSS,Own Frontend Design,,HTTP,1.1,
568,Vendor636,1,Microsoft-IIS,/7.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
569,Vendor715,1,nginx,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
570,Vendor428,1,nginx,/1.4.6 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
571,Vendor079,1,Microsoft-HTTPAPI/2.0,,,,CSS,Own Frontend Design,,HTTP,1.1,
572,Vendor228,1,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1,
573,Vendor814,1,Kestrel,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
574,Vendor665,1,Apache,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
575,Vendor253,1,Microsoft-IIS,/10.0,,,,Own Frontend Design,,HTTP,1.1,
576,Vendor820,1,nginx,/1.19.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
577,Vendor093,1,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
578,Vendor450,1,,,,,CSS,Own Frontend Design,,HTTP,1,
579,Vendor761,1,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
580,Vendor278,1,Apache,/2.4.41,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
581,Vendor509,1,Apache,/2.4.7 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
582,Vendor857,1,nginx,/1.17.9,,,CSS,Own Frontend Design,,HTTP,1.1,
583,Vendor559,1,nginx,/1.14.0 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
584,Vendor642,1,,,,,CSS,Own Frontend Design,,HTTP,1,
585,Vendor105,1,nginx,/1.14.2,,,CSS,Own Frontend Design,,HTTP,1.1,
586,Vendor806,1,,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
587,Vendor772,1,nginx,/1.17.10,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
588,Vendor617,1,,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
589,Vendor795,1,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
590,Vendor430,1,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
591,Vendor071,1,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
592,Vendor506,1,LiteSpeed,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
593,Vendor829,1,nginx,/1.19.8,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
